"char";"storage";"item";"quantity"
"Watitdew";"inventory";"Carnation";"12"
"Watitdew";"inventory";"Decennial Tiara";"1"
"Watitdew";"inventory";"Decennial Dress";"1"
"Watitdew";"inventory";"Pulse Cell: Ay";"1"
"Watitdew";"inventory";"Invisible Mantle";"1"
"Watitdew";"inventory";"Beitetsu";"128"
"Watitdew";"inventory";"A.Angel HM Stat.";"1"
"Watitdew";"inventory";"Mahogany Log";"5"
"Watitdew";"inventory";"Hi-Potion Tank";"1"
"Watitdew";"inventory";"Jugner Ring";"1"
"Watitdew";"inventory";"A.Angel TT Stat.";"1"
"Watitdew";"inventory";"A.Angel MR Stat.";"1"
"Watitdew";"inventory";"Petrified Log";"2"
"Watitdew";"inventory";"Decennial Hose";"1"
"Watitdew";"inventory";"Minerva's Ring";"1"
"Watitdew";"inventory";"A.Angel EV Stat.";"1"
"Watitdew";"inventory";"Kirin's Pole";"1"
"Watitdew";"inventory";"Pearlsack";"1"
"Watitdew";"inventory";"Grow-M-Good";"2"
"Watitdew";"inventory";"Hi-Ether Tank";"1"
"Watitdew";"inventory";"Sorcerer's Ring";"1"
"Watitdew";"inventory";"Behem. Leather";"1"
"Watitdew";"inventory";"Pak Corselet";"1"
"Watitdew";"inventory";"Montagna";"3"
"Watitdew";"inventory";"Mana Channeler";"1"
"Watitdew";"inventory";"Riftsand";"74"
"Watitdew";"inventory";"Quake";"1"
"Watitdew";"inventory";"The Big One";"2"
"Watitdew";"inventory";"Moat Carp";"9"
"Watitdew";"inventory";"Adloquium";"1"
"Watitdew";"inventory";"Smoke Screen";"1"
"Watitdew";"inventory";"Riftborn Boulder";"158"
"Watitdew";"safe";"Anniversary Ring";"1"
"Watitdew";"safe";"Dream Hat";"1"
"Watitdew";"safe";"Dream Bell +1";"1"
"Watitdew";"safe";"Eerie Cloak +1";"1"
"Watitdew";"safe";"Alliance Shirt";"1"
"Watitdew";"safe";"Sardine Chum";"3"
"Watitdew";"safe";"Gugru Tuna";"3"
"Watitdew";"safe";"Signal Pearl";"1"
"Watitdew";"safe";"Ifritite";"42"
"Watitdew";"safe";"Orphic Egg";"1"
"Watitdew";"safe";"Stone Serum";"3"
"Watitdew";"safe";"Shivite";"34"
"Watitdew";"safe";"Novennial Dress";"1"
"Watitdew";"safe";"Leviatite";"37"
"Watitdew";"safe";"Dream Robe +1";"1"
"Watitdew";"safe";"Novennial Boots";"1"
"Watitdew";"safe";"Ramuite";"20"
"Watitdew";"safe";"Titanite";"45"
"Watitdew";"safe";"Linkpearl";"1"
"Watitdew";"safe";"Garden Worm";"3"
"Watitdew";"safe";"Dinner Jacket";"1"
"Watitdew";"safe";"Garudite";"35"
"Watitdew";"safe";"Sardine Sphere";"3"
"Watitdew";"safe";"Dinner Hose";"1"
"Watitdew";"safe";"Grove Worm";"3"
"Watitdew";"safe";"Grow-M-Good";"4"
"Watitdew";"safe";"Carbite";"30"
"Watitdew";"safe";"Fenrite";"12"
"Watitdew";"safe";"Panetiere";"1"
"Watitdew";"locker";"Flocon-de-mer";"14"
"Watitdew";"satchel";"Bast Parchment";"4"
"Watitdew";"satchel";"Coral Fragment";"6"
"Watitdew";"satchel";"Glass Fiber";"10"
"Watitdew";"satchel";"Ancient Lumber";"2"
"Watitdew";"satchel";"Chestnut Lumber";"2"
"Watitdew";"satchel";"Behemoth Horn";"1"
"Watitdew";"satchel";"Anc. Beast Horn";"1"
"Watitdew";"satchel";"Carbon Fiber";"9"
"Watitdew";"satchel";"Lqr. Tree Lbr.";"7"
"Watitdew";"satchel";"Beetle Jaw";"3"
"Watitdew";"satchel";"Oak Lumber";"1"
"Watitdew";"satchel";"Urushi";"3"
"Watitdew";"satchel";"Apkallu Feather";"2"
"Watitdew";"satchel";"Lauan Lumber";"1"
"Watitdew";"satchel";"Wisteria Lumber";"2"
"Watitdew";"satchel";"Holly Lumber";"10"
"Watitdew";"satchel";"Bundling Twine";"6"
"Watitdew";"satchel";"Ebony Lumber";"5"
"Watitdew";"satchel";"Arrowwood Lbr.";"9"
"Watitdew";"satchel";"Coeurl Whisker";"11"
"Watitdew";"satchel";"Beech Lumber";"7"
"Watitdew";"satchel";"Demon Horn";"3"
"Watitdew";"satchel";"Elm Lumber";"5"
"Watitdew";"satchel";"Insect Fltchg.";"4"
"Watitdew";"satchel";"Pigeon's Blood";"2"
"Watitdew";"satchel";"Giant Bird Fthr.";"5"
"Watitdew";"satchel";"Dogwd. Lumber";"2"
"Watitdew";"satchel";"Wyvern Scales";"5"
"Watitdew";"satchel";"Teak Lumber";"7"
"Watitdew";"satchel";"Walnut Lumber";"8"
"Watitdew";"sack";"Titanic Sawfish";"6"
"Watitdew";"sack";"Wijnruit";"74"
"Watitdew";"case";"Autumnstone";"1"
"Watitdew";"case";"Summerstone";"1"
"Watitdew";"case";"Darksteel Bolt";"66"
"Watitdew";"case";"Slice of Bluetail";"456"
"Watitdew";"case";"Herb Seeds";"3"
"Watitdew";"case";"Gem of the West";"1"
"Watitdew";"case";"Gem of the South";"1"
"Watitdew";"case";"Instant Warp";"1"
"Watitdew";"case";"Vegetable Seeds";"1"
"Watitdew";"case";"Amrita";"1"
"Watitdew";"case";"Boyahda Moss";"1"
"Watitdew";"case";"Lanolin";"1"
"Watitdew";"case";"Fruit Seeds";"2"
"Watitdew";"case";"Undecennial Ring";"1"
"Watitdew";"case";"Springstone";"1"
"Watitdew";"case";"Vnm. Bolt Heads";"6"
"Watitdew";"case";"Gem of the North";"1"
"Watitdew";"case";"Winterstone";"1"
"Watitdew";"case";"Grain Seeds";"2"
"Watitdew";"case";"Gem of the East";"1"
"Watitdew";"case";"Mantid Arrow";"57"
